subj,dataset_name,metric_name,performance
alexnet_w1_mlp_simclrhn_probe2,edge,accuracy (top-1),0.39375
alexnet_w1_mlp_simclrhn_probe2,silhouette,accuracy (top-1),0.2375
alexnet_w1_mlp_simclrhn_probe2,cue-conflict,accuracy (top-1),0.25234375
alexnet_w1_mlp_simclrhn_probe2,colour,accuracy (top-1),0.7484375
alexnet_w1_mlp_simclrhn_probe2,contrast,accuracy (top-1),0.50625
alexnet_w1_mlp_simclrhn_probe2,high-pass,accuracy (top-1),0.35625
alexnet_w1_mlp_simclrhn_probe2,low-pass,accuracy (top-1),0.29765625
alexnet_w1_mlp_simclrhn_probe2,phase-scrambling,accuracy (top-1),0.3464285714285714
alexnet_w1_mlp_simclrhn_probe2,power-equalisation,accuracy (top-1),0.5285714285714286
alexnet_w1_mlp_simclrhn_probe2,false-colour,accuracy (top-1),0.7321428571428571
alexnet_w1_mlp_simclrhn_probe2,rotation,accuracy (top-1),0.53359375
alexnet_w1_mlp_simclrhn_probe2,eidolonI,accuracy (top-1),0.3625
alexnet_w1_mlp_simclrhn_probe2,eidolonII,accuracy (top-1),0.30859375
alexnet_w1_mlp_simclrhn_probe2,eidolonIII,accuracy (top-1),0.28828125
alexnet_w1_mlp_simclrhn_probe2,uniform-noise,accuracy (top-1),0.271875
alexnet_w1_mlp_simclrhn_probe2,sketch,accuracy (top-1),0.475
alexnet_w1_mlp_simclrhn_probe2,sketch,accuracy (top-5),0.785
alexnet_w1_mlp_simclrhn_probe2,stylized,accuracy (top-1),0.23375
alexnet_w1_mlp_simclrhn_probe2,stylized,accuracy (top-5),0.55
